Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
228	Satin White	FFFFFF	Satin	2	2	33	3	2020	2020
65	Metallic Gold	B8860B	Metallic	81	205	975	159	1997	2020
70	Metallic Green	bdb573	Metallic	26	7	260	37	2001	2018
67	Metallic Silver	C0C0C0	Metallic	177	593	1660	248	1957	2020
46	Glow In Dark Opaque	d4d5c9	Milky	41	87	467	105	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	16	22	249	19	2005	2011
159	Glow In Dark White	d9d9d9	Milky	29	50	676	47	2012	2020
60	Milky White	d4d3dd	Milky	26	139	405	61	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	16	24	86	18	1999	2020
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	33	91	15	1999	2020
162	Glitter Trans-Light Blue	68BCC5	Glitter	16	22	98	19	2015	2020
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	60	2	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	18	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	10	41	109	12	2000	2020
116	Speckle Black-Copper	5F4E47	Speckle	5	3	111	8	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	139	5	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	46	120	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	138	8	2006	2006
142	Mx Aqua Green	27867E	Modulex			11	9		
128	Mx Black	000000	Modulex			69	210		
132	Mx Brown	907450	Modulex			30	35		
133	Mx Buff	DEC69C	Modulex			35	39		
126	Mx Charcoal Gray	595D60	Modulex			13	7		
149	Mx Clear	FFFFFF	Modulex			54	55		
214	Mx Foil Dark Blue	0057A6	Modulex			1	1		
210	Mx Foil Dark Gray	595D60	Modulex			1	1		
212	Mx Foil Dark Green	006400	Modulex			1			
215	Mx Foil Light Blue	68AECE	Modulex			2	1		
211	Mx Foil Light Gray	9C9C9C	Modulex			1			
213	Mx Foil Light Green	7DB538	Modulex			1	1		
219	Mx Foil Orange	F7AD63	Modulex			1	1		
217	Mx Foil Red	8B0000	Modulex			1	1		
216	Mx Foil Violet	4B0082	Modulex			1			
218	Mx Foil Yellow	FED557	Modulex			1			
139	Mx Lemon	BDC618	Modulex			10	20		
124	Mx Light Bluish Gray	AfB5C7	Modulex			10	5		
125	Mx Light Gray	9C9C9C	Modulex			46	68		
136	Mx Light Orange	F7AD63	Modulex			13	9		
137	Mx Light Yellow	FFE371	Modulex			13	9		
144	Mx Medium Blue	61AFFF	Modulex			12	10		
138	Mx Ochre Yellow	FED557	Modulex			18	15		
140	Mx Olive Green	7C9051	Modulex			18	22		
135	Mx Orange	F47B30	Modulex			15	27		
145	Mx Pastel Blue	68AECE	Modulex			18	21		
141	Mx Pastel Green	7DB538	Modulex			22	33		
148	Mx Pink	F785B1	Modulex			12	16		
130	Mx Pink Red	F45C40	Modulex			8	7		
129	Mx Red	B52C20	Modulex			18	28		
146	Mx Teal Blue	467083	Modulex			13	16		
134	Mx Terracotta	5C5030	Modulex			24	40		
143	Mx Tile Blue	0057A6	Modulex			7			
131	Mx Tile Brown	330000	Modulex			10	1		
127	Mx Tile Gray	6B5A5A	Modulex			20	68		
147	Mx Violet	BD7D85	Modulex			16	8		
123	Mx White	FFFFFF	Modulex			127	302		
